timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/11 18:40:26.295, 27.41 W, 3 %, 0 %, 15360 MiB, 14206 MiB, 703 MiB, 41
2022/11/11 18:40:26.800, 27.41 W, 3 %, 0 %, 15360 MiB, 14132 MiB, 777 MiB, 41
2022/11/11 18:40:27.304, 27.41 W, 5 %, 0 %, 15360 MiB, 14042 MiB, 867 MiB, 41
2022/11/11 18:40:27.808, 27.43 W, 3 %, 0 %, 15360 MiB, 13964 MiB, 945 MiB, 41
2022/11/11 18:40:28.312, 27.41 W, 3 %, 0 %, 15360 MiB, 13898 MiB, 1011 MiB, 41
2022/11/11 18:40:28.816, 27.51 W, 2 %, 0 %, 15360 MiB, 13824 MiB, 1085 MiB, 41
2022/11/11 18:40:29.320, 27.51 W, 4 %, 0 %, 15360 MiB, 13746 MiB, 1163 MiB, 41
2022/11/11 18:40:29.825, 27.51 W, 2 %, 0 %, 15360 MiB, 13666 MiB, 1243 MiB, 41
2022/11/11 18:40:30.329, 27.51 W, 0 %, 0 %, 15360 MiB, 13612 MiB, 1297 MiB, 41
2022/11/11 18:40:30.833, 27.51 W, 0 %, 0 %, 15360 MiB, 13612 MiB, 1297 MiB, 42
2022/11/11 18:40:31.337, 27.51 W, 1 %, 0 %, 15360 MiB, 13576 MiB, 1333 MiB, 42
2022/11/11 18:40:31.840, 27.51 W, 17 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:32.344, 27.51 W, 17 %, 12 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:32.850, 27.59 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:33.354, 42.02 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:33.858, 28.89 W, 14 %, 9 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:34.362, 27.61 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:34.867, 27.51 W, 21 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:35.373, 27.49 W, 8 %, 1 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:35.878, 27.71 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:36.383, 27.61 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:36.887, 28.08 W, 20 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:37.391, 40.40 W, 20 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:37.895, 30.25 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:38.398, 28.00 W, 13 %, 5 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:38.902, 27.61 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:39.406, 27.61 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:39.910, 27.62 W, 7 %, 1 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:40.414, 27.61 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 42
2022/11/11 18:40:40.918, 38.32 W, 20 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:41.424, 37.97 W, 19 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:41.928, 27.90 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:42.432, 27.72 W, 20 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:42.936, 27.71 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:43.440, 35.42 W, 21 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:43.944, 27.81 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:44.448, 27.59 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:44.951, 34.53 W, 21 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:45.463, 28.69 W, 15 %, 8 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:45.967, 27.71 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:46.472, 27.71 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:46.976, 33.86 W, 20 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:47.480, 27.81 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:47.984, 27.81 W, 18 %, 12 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:48.488, 36.30 W, 22 %, 13 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:48.992, 27.71 W, 0 %, 0 %, 15360 MiB, 13148 MiB, 1761 MiB, 43
2022/11/11 18:40:49.496, 30.44 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:40:50.000, 27.71 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:40:50.504, 27.81 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:40:51.008, 27.71 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:40:51.513, 27.51 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:40:52.018, 27.61 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:40:52.522, 27.61 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
2022/11/11 18:40:53.026, 27.43 W, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB, 43
